p,influenced,weight
http://dbpedia.org/resource/Amina_Wadud,http://dbpedia.org/resource/Michael_Muhammad_Knight,1
http://dbpedia.org/resource/Ammonius_Saccas,http://dbpedia.org/resource/Tertullian,1
http://dbpedia.org/resource/Ammonius_Saccas,http://dbpedia.org/resource/Hypatia,1
http://dbpedia.org/resource/Ammonius_Saccas,http://dbpedia.org/resource/Origen,1
http://dbpedia.org/resource/Ammonius_Saccas,http://dbpedia.org/resource/Plotinus,1
http://dbpedia.org/resource/Anaxagoras,http://dbpedia.org/resource/Archelaus_(philosopher),1
http://dbpedia.org/resource/Anaxagoras,http://dbpedia.org/resource/Pericles,1
http://dbpedia.org/resource/Anaxagoras,http://dbpedia.org/resource/Protagoras,1
http://dbpedia.org/resource/Anaxagoras,http://dbpedia.org/resource/John_Stuart_Mill,1
http://dbpedia.org/resource/Anaxagoras,http://dbpedia.org/resource/Socrates,1
http://dbpedia.org/resource/Anaximander,http://dbpedia.org/resource/Anaximenes_of_Miletus,1
http://dbpedia.org/resource/Anaximander,http://dbpedia.org/resource/Pythagoras,1
http://dbpedia.org/resource/Anaximander,http://dbpedia.org/resource/Democritus,1
http://dbpedia.org/resource/Anaximander,http://dbpedia.org/resource/Martin_Heidegger,1
http://dbpedia.org/resource/Anaximander,http://dbpedia.org/resource/Ancient_Greek_astronomy,1
http://dbpedia.org/resource/Anaximenes_of_Miletus,http://dbpedia.org/resource/Scylax_of_Caryanda,1
http://dbpedia.org/resource/Anaximenes_of_Miletus,http://dbpedia.org/resource/Diogenes_of_Apollonia,1
http://dbpedia.org/resource/Anaximenes_of_Miletus,http://dbpedia.org/resource/Heraclitus,1
http://dbpedia.org/resource/Anaximenes_of_Miletus,http://dbpedia.org/resource/Leucippus,1
http://dbpedia.org/resource/Evandro_Agazzi,http://dbpedia.org/resource/Carlo_Penco,1
http://dbpedia.org/resource/Johann_Christoph_Adelung,http://dbpedia.org/resource/Josef_Dobrovský,1
http://dbpedia.org/resource/Syed_Ahmad_Khan,"http://dbpedia.org/resource/Louis_Mountbatten,_1st_Earl_Mountbatten_of_Burma",1
http://dbpedia.org/resource/Syed_Ahmad_Khan,http://dbpedia.org/resource/Ziauddin_Ahmad,1
http://dbpedia.org/resource/Syed_Ahmad_Khan,http://dbpedia.org/resource/Pervez_Musharraf,1
http://dbpedia.org/resource/Syed_Ahmad_Khan,http://dbpedia.org/resource/Pakistan_Movement,1
http://dbpedia.org/resource/Syed_Ahmad_Khan,http://dbpedia.org/resource/All-India_Muslim_League,1
http://dbpedia.org/resource/Syed_Ahmad_Khan,http://dbpedia.org/resource/Politics_of_Pakistan,1
http://dbpedia.org/resource/Syed_Ahmad_Khan,http://dbpedia.org/resource/Aligarh_Movement,1
http://dbpedia.org/resource/John_Austin_(legal_philosopher),http://dbpedia.org/resource/Joseph_Raz,1
http://dbpedia.org/resource/John_Austin_(legal_philosopher),http://dbpedia.org/resource/H._L._A._Hart,1
http://dbpedia.org/resource/John_Locke,"http://dbpedia.org/resource/Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury",1
http://dbpedia.org/resource/John_Locke,http://dbpedia.org/resource/George_Berkeley,1
http://dbpedia.org/resource/John_Locke,http://dbpedia.org/resource/Thomas_Jefferson,1
http://dbpedia.org/resource/John_Locke,http://dbpedia.org/resource/David_Hume,1
http://dbpedia.org/resource/John_Locke,http://dbpedia.org/resource/Voltaire,1
http://dbpedia.org/resource/John_Locke,http://dbpedia.org/resource/Immanuel_Kant,1
http://dbpedia.org/resource/John_Locke,http://dbpedia.org/resource/Jean-Jacques_Rousseau,1
http://dbpedia.org/resource/John_Lucas_(philosopher),http://dbpedia.org/resource/Roger_Penrose,1
http://dbpedia.org/resource/John_McDowell,http://dbpedia.org/resource/Robert_B._Pippin,1
http://dbpedia.org/resource/John_McDowell,http://dbpedia.org/resource/Jonathan_Dancy,1
http://dbpedia.org/resource/John_McDowell,http://dbpedia.org/resource/Louise_Antony,1
http://dbpedia.org/resource/John_McDowell,http://dbpedia.org/resource/Axel_Honneth,1
