Philosopher A,Philosopher B,Weight
Emil_Lask,Eugen_Herrigel,1
Emil_Lask,György_Lukács,1
Emil_Lask,Lucien_Goldmann,1
Emil_Lask,Martin_Heidegger,1
Emmanuel_Levinas,Enrique_Dussel,1
Emmanuel_Levinas,Paul_Ricœur,1
Emmanuel_Levinas,Bernard-Henri_Lévy,1
Emmanuel_Levinas,Zygmunt_Bauman,1
Emmanuel_Levinas,Maurice_Blanchot,1
Emmanuel_Levinas,Jacques_Derrida,1
Emmanuel_Levinas,Simon_Critchley,1
Emmanuel_Levinas,Benny_Lévy,1
Emmanuel_Levinas,Avital_Ronell,1
Emmanuel_Levinas,Alain_Finkielkraut,1
Emmanuel_Levinas,Jean-Luc_Marion,1
Emmanuel_Levinas,Giorgio_Agamben,1
Emmanuel_Levinas,Robert_Bernasconi,1
Emmanuel_Levinas,Hilary_Putnam,1
Emmanuel_Levinas,Judith_Butler,1
Gottfried_Wilhelm_Leibniz,Kurt_Gödel,1
Gottfried_Wilhelm_Leibniz,Walter_Rauschenbusch,1
Gottfried_Wilhelm_Leibniz,Wilhelm_Wundt,1
Gottfried_Wilhelm_Leibniz,George_Berkeley,1
Gottfried_Wilhelm_Leibniz,George_Boole,1
Gottfried_Wilhelm_Leibniz,Maurice_Blondel,1
Gottfried_Wilhelm_Leibniz,Ernst_Platner,1
Gottfried_Wilhelm_Leibniz,David_Hume,1
Gottfried_Wilhelm_Leibniz,Bertrand_Russell,1
Gottfried_Wilhelm_Leibniz,Voltaire,1
Gottfried_Wilhelm_Leibniz,Joseph-Louis_Lagrange,1
Gottfried_Wilhelm_Leibniz,Leonhard_Euler,1
Gottfried_Wilhelm_Leibniz,Gottlob_Frege,1
Gottfried_Wilhelm_Leibniz,John_Henry_Newman,1
Gottfried_Wilhelm_Leibniz,Immanuel_Kant,1
Gottfried_Wilhelm_Leibniz,Jean-Jacques_Rousseau,1
Gottfried_Wilhelm_Leibniz,Norbert_Wiener,1
Gottfried_Wilhelm_Leibniz,Benoit_Mandelbrot,1
Gottfried_Wilhelm_Leibniz,Bernhard_Riemann,1
Gottfried_Wilhelm_Leibniz,Carl_Friedrich_Gauss,1
Gottfried_Wilhelm_Leibniz,Edward_Gibbon,1
Gottfried_Wilhelm_Leibniz,Martin_Heidegger,1
Gottfried_Wilhelm_Leibniz,Alfred_Tarski,1
Gottfried_Wilhelm_Leibniz,Charles_Sanders_Peirce,1
Gottfried_Wilhelm_Leibniz,Christian_Wolff_(philosopher),1
Gottfried_Wilhelm_Leibniz,Gilles_Deleuze,1
Gottfried_Wilhelm_Leibniz,Nicholas_Rescher,1
Henri_Lefebvre,Fredric_Jameson,1
Henri_Lefebvre,Mark_Poster,1
Henri_Lefebvre,Neil_Smith_(geographer),1
Henri_Lefebvre,Raoul_Vaneigem,1
Henri_Lefebvre,Michel_de_Certeau,1
Henri_Lefebvre,David_Harvey,1
Henri_Lefebvre,Jean-Paul_Sartre,1
Henri_Lefebvre,Jean_Baudrillard,1
Henri_Lefebvre,Edward_Soja,1
Henri_Lefebvre,Situationist_International,1
Henri_Lefebvre,Guy_Debord,1
Karl_Christian_Friedrich_Krause,Arthur_Schopenhauer,1
Karl_Christian_Friedrich_Krause,Francisco_Giner_de_los_Ríos,1
Karl_Christian_Friedrich_Krause,Hipólito_Yrigoyen,1
Karl_Christian_Friedrich_Krause,Julián_Sanz_del_Rio,1
Karl_Korsch,Douglas_Kellner,1
Karl_Korsch,C._L._R._James,1
Karl_Korsch,New_Left,1
Karl_Korsch,Bertolt_Brecht,1
Karl_Korsch,Felix_Weil,1
Karl_Korsch,Frankfurt_School,1
Krishna_Chandra_Bhattacharya,Debiprasad_Chattopadhyaya,1
Kurt_Koffka,Kurt_Lewin,1
Kurt_Koffka,Maurice_Merleau-Ponty,1
Kurt_Koffka,Lev_Vygotsky,1
Laozi,Niels_Bohr,1
Laozi,Xuanxue,1
Laozi,Alan_Watts,1
Laozi,Lie_Yukou,1
Laozi,Martin_Heidegger,1
Laozi,Eastern_philosophy,1
Laozi,Chinese_Buddhism,1
Laozi,Taoism,1
Laozi,Zen,1
Laozi,Zhuang_Zhou,1
Laozi,Carl_Jung,1
Leszek_Kołakowski,Christopher_Hitchens,1
Leszek_Kołakowski,Noam_Chomsky,1
Leszek_Kołakowski,Solidarity_(Polish_trade_union),1
Leszek_Kołakowski,José_Guilherme_Merquior,1
Louis_Lavelle,Paul_Ricœur,1
Louis_Lavelle,Alfredo_Bosi,1
Louis_Lavelle,Nikolai_Berdyaev,1
Louis_Lavelle,Walter_J._Ong,1
Louis_Lavelle,Gabriel_Marcel,1
Louis_Lavelle,Antonin_Sertillanges,1
Louis_Lavelle,Jean_Guitton,1
Louis_Lavelle,Olavo_de_Carvalho,1
Louis_Lavelle,Renaud_Barbaras,1
Louis_Lavelle,Pierre_Hadot,1
Martin_Knutzen,Johann_Georg_Hamann,1
Martin_Knutzen,Immanuel_Kant,1
Martin_Knutzen,Benno_Erdmann,1
Peter_Kropotkin,Franz_Kafka,1
Peter_Kropotkin,Rudolf_Rocker,1
Peter_Kropotkin,Slavoj_Žižek,1
Peter_Kropotkin,Daniel_Guérin,1
Peter_Kropotkin,Bob_Black,1
Peter_Kropotkin,Errico_Malatesta,1
Peter_Kropotkin,Nestor_Makhno,1
Peter_Kropotkin,Emma_Goldman,1
Peter_Kropotkin,Stephen_Jay_Gould,1
Peter_Kropotkin,Oscar_Wilde,1
Peter_Kropotkin,Kōtoku_Shūsui,1
Peter_Kropotkin,Alexander_Berkman,1
Peter_Kropotkin,Leo_Tolstoy,1
Peter_Kropotkin,Murray_Bookchin,1
Peter_Kropotkin,Colin_Ward,1
Peter_Kropotkin,Noam_Chomsky,1
Peter_Kropotkin,George_Woodcock,1
Peter_Lamborn_Wilson,Michael_Muhammad_Knight,1
Philip_Kitcher,Patricia_Kitcher,1
Philip_Kitcher,C._Kenneth_Waters,1
Philip_Kitcher,Michael_Weisberg,1
Philip_Kitcher,Kyle_Stanford,1
Philip_Kitcher,Peter_Godfrey-Smith,1
Sandra_Laugier,Tristan_Garcia,1
Saul_Kripke,John_P._Burgess,1
Susanne_Langer,Bernard_Lonergan,1
Susanne_Langer,Howard_Gardner,1
Susanne_Langer,Clifford_Geertz,1
Susanne_Langer,Neo-Concrete_Movement,1
